,6.1600000e+02,3.0000000e+01
318,315.0,207.0
319,318.0,207.0
320,319.0,207.0
321,320.0,207.0
322,256.0,208.0
323,288.0,208.0
324,292.0,208.0
325,294.0,208.0
326,297.0,208.0
327,303.0,208.0
328,304.0,208.0
329,305.0,208.0
330,306.0,208.0
331,312.0,208.0
332,316.0,208.0
333,331.0,208.0
334,338.0,208.0
335,285.0,209.0
336,289.0,209.0
337,295.0,209.0
338,296.0,209.0
339,300.0,209.0
340,301.0,209.0
341,305.0,209.0
342,306.0,209.0
343,307.0,209.0
344,308.0,209.0
345,309.0,209.0
346,310.0,209.0
347,311.0,209.0
348,313.0,209.0
349,317.0,209.0
350,318.0,209.0
351,327.0,209.0
352,328.0,209.0
353,329.0,209.0
354,330.0,209.0
355,332.0,209.0
356,265.0,210.0
357,281.0,210.0
358,288.0,210.0
359,299.0,210.0
360,300.0,210.0
361,302.0,210.0
362,307.0,210.0
363,310.0,210.0
364,311.0,210.0
365,316.0,210.0
366,317.0,210.0
367,318.0,210.0
368,319.0,210.0
369,322.0,210.0
370,326.0,210.0
371,328.0,210.0
372,331.0,210.0
373,272.0,211.0
374,274.0,211.0
375,285.0,211.0
376,291.0,211.0
377,292.0,211.0
378,293.0,211.0
379,296.0,211.0
380,297.0,211.0
381,298.0,211.0
382,307.0,211.0
383,308.0,211.0
384,309.0,211.0
385,313.0,211.0
386,314.0,211.0
387,316.0,211.0
388,317.0,211.0
389,319.0,211.0
390,321.0,211.0
391,323.0,211.0
392,325.0,211.0
393,326.0,211.0
394,327.0,211.0
395,269.0,212.0
396,288.0,212.0
397,289.0,212.0
398,293.0,212.0
399,294.0,212.0
400,295.0,212.0
401,298.0,212.0
402,301.0,212.0
403,303.0,212.0
404,306.0,212.0
405,307.0,212.0
406,308.0,212.0
407,309.0,212.0
408,310.0,212.0
409,315.0,212.0
410,321.0,212.0
411,324.0,212.0
412,325.0,212.0
413,326.0,212.0
414,328.0,212.0
415,279.0,213.0
416,281.0,213.0
417,282.0,213.0
418,290.0,213.0
419,291.0,213.0
420,292.0,213.0
421,294.0,213.0
422,295.0,213.0
423,296.0,213.0
424,304.0,213.0
425,306.0,213.0
426,310.0,213.0
427,311.0,213.0
428,312.0,213.0
429,313.0,213.0
430,314.0,213.0
431,315.0,213.0
432,317.0,213.0
433,322.0,213.0
434,323.0,213.0
435,276.0,214.0
436,280.0,214.0
437,281.0,214.0
438,282.0,214.0
439,283.0,214.0
440,285.0,214.0
441,286.0,214.0
442,291.0,214.0
443,299.0,214.0
444,300.0,214.0
445,302.0,214.0
446,306.0,214.0
447,308.0,214.0
448,311.0,214.0
449,313.0,214.0
450,314.0,214.0
451,319.0,214.0
452,323.0,214.0
453,324.0,214.0
454,275.0,215.0
455,276.0,215.0
456,277.0,215.0
457,283.0,215.0
458,285.0,215.0
459,287.0,215.0
460,288.0,215.0
461,289.0,215.0
462,300.0,215.0
463,301.0,215.0
464,302.0,215.0
465,303.0,215.0
466,304.0,215.0
467,305.0,215.0
468,312.0,215.0
469,313.0,215.0
470,316.0,215.0
471,318.0,215.0
472,320.0,215.0
473,321.0,215.0
474,322.0,215.0
475,324.0,215.0
476,325.0,215.0
477,280.0,216.0
478,285.0,216.0
479,287.0,216.0
480,298.0,216.0
481,301.0,216.0
482,302.0,216.0
483,304.0,216.0
484,305.0,216.0
485,312.0,216.0
486,317.0,216.0
487,318.0,216.0
488,319.0,216.0
489,320.0,216.0
490,322.0,216.0
491,323.0,216.0
492,281.0,217.0
493,282.0,217.0
494,297.0,217.0
495,298.0,217.0
496,299.0,217.0
497,303.0,217.0
498,304.0,217.0
499,313.0,217.0
500,320.0,217.0
501,321.0,217.0
502,322.0,217.0
503,352.0,217.0
504,283.0,218.0
505,291.0,218.0
506,301.0,218.0
507,302.0,218.0
508,304.0,218.0
509,306.0,218.0
510,310.0,218.0
511,311.0,218.0
512,314.0,218.0
513,315.0,218.0
514,316.0,218.0
515,226.0,219.0
516,285.0,219.0
517,293.0,219.0
518,294.0,219.0
519,307.0,219.0
520,309.0,219.0
521,310.0,219.0
522,313.0,219.0
523,315.0,219.0
524,317.0,219.0
525,318.0,219.0
526,319.0,219.0
527,329.0,219.0
528,296.0,220.0
529,306.0,220.0
530,308.0,220.0
531,310.0,220.0
532,311.0,220.0
533,312.0,220.0
534,316.0,220.0
535,317.0,220.0
536,318.0,220.0
537,319.0,220.0
538,330.0,220.0
539,332.0,220.0
540,277.0,221.0
541,290.0,221.0
542,291.0,221.0
543,299.0,221.0
544,307.0,221.0
545,308.0,221.0
546,309.0,221.0
547,314.0,221.0
548,316.0,221.0
549,317.0,221.0
550,318.0,221.0
551,319.0,221.0
552,268.0,222.0
553,271.0,222.0
554,292.0,222.0
555,307.0,222.0
556,308.0,222.0
557,309.0,222.0
558,310.0,222.0
559,315.0,222.0
560,316.0,222.0
561,317.0,222.0
562,319.0,222.0
563,320.0,222.0
564,266.0,223.0
565,307.0,223.0
566,312.0,223.0
567,316.0,223.0
568,325.0,223.0
569,326.0,223.0
570,261.0,224.0
571,297.0,224.0
572,305.0,224.0
573,306.0,224.0
574,312.0,224.0
575,314.0,224.0
576,315.0,224.0
577,320.0,224.0
578,335.0,224.0
579,342.0,224.0
580,304.0,225.0
581,311.0,225.0
582,313.0,225.0
583,341.0,225.0
584,302.0,226.0
585,310.0,226.0
586,312.0,226.0
587,313.0,226.0
588,337.0,226.0
589,339.0,226.0
590,258.0,227.0
591,303.0,227.0
592,304.0,227.0
593,310.0,227.0
594,311.0,227.0
595,312.0,227.0
596,313.0,227.0
597,322.0,227.0
598,325.0,227.0
599,338.0,227.0
600,256.0,228.0
601,303.0,228.0
602,316.0,228.0
603,328.0,228.0
604,336.0,228.0
605,340.0,228.0
606,347.0,228.0
607,308.0,229.0
608,328.0,229.0
609,309.0,230.0
610,310.0,230.0
611,330.0,230.0
612,246.0,231.0
613,273.0,231.0
614,306.0,231.0
615,332.0,231.0
616,333.0,231.0
617,363.0,231.0
618,331.0,232.0
619,332.0,232.0
620,352.0,232.0
621,305.0,233.0
622,306.0,233.0
623,327.0,233.0
624,346.0,233.0
625,268.0,234.0
626,328.0,234.0
627,329.0,234.0
628,287.0,235.0
629,310.0,235.0
630,320.0,235.0
631,322.0,235.0
632,264.0,236.0
633,343.0,236.0
634,324.0,237.0
635,325.0,237.0
636,336.0,237.0
637,100.0,238.0
638,323.0,238.0
639,339.0,238.0
640,367.0,238.0
641,231.0,239.0
642,230.0,240.0
643,333.0,240.0
644,63.0,241.0
645,227.0,241.0
646,356.0,241.0
647,298.0,243.0
648,291.0,244.0
649,358.0,244.0
650,90.0,245.0
651,289.0,246.0
652,345.0,246.0
653,355.0,247.0
654,350.0,248.0
655,288.0,249.0
